Rec,Name,Team,Positions,Rank,ADP,PlayerInfo,PTS,Projections,Link,Last,Description,Status,Year
22,Fernando Tatis Jr.,SD,SS,22.0,20.0,Fernando Tatis Jr. (SD - SS),358,.273|84R|31HR|81RBI|23SB,https://www.fantasypros.com/mlb/players/fernando-tatis-jr.php,Tatis Jr.,".273|84R|31HR|81RBI|23SB
Fernando Tatis Jr. is the glow-in-the-dark, neon-colored wild card sitting in every fantasy baseball draft of 2023. Tatis missed the entire 2022 season with injuries and a PED suspension in August. The injuries have been addressed: He surgically repaired his torn labrum shortly after his suspension for a nagging shoulder issue that plagued him, and he had surgery on his left wrist in October. The suspension will end on April 20, so fantasy managers don't have to take a long absence into account. It's just every other part of the picture that muddies the water. Tatis's raw skills are phenomenal; he hits the ball as hard as anyone in the game, runs extremely well, and gets on base. He will be surrounded by superstar talent in the San Diego lineup, and he will have SS and OF eligibility in 2023, but he probably won't be playing the demanding infield position. If someone could guarantee that 2021 Tatis is who we're getting, he'd be a Top 5 pick, but the variables are numerous, and the impact is unknown. Someone will spend a high-round draft pick on him, so you only have to ask yourself if it will be you.",SUS,2023
23,Austin Riley,ATL,3B,23.0,21.0,Austin Riley (ATL - 3B),385,.276|89R|33HR|99RBI|1SB,https://www.fantasypros.com/mlb/players/austin-riley.php,Riley,".276|89R|33HR|99RBI|1SB
Austin Riley showed up on a lot of ""Busts"" lists heading into 2022, which caused his draft stock to fall, so the fantasy managers who took the chance were handsomely rewarded with 38 HR, 93 RBI, and 90 runs. Riley sits in the 95th percentile or higher in HardHit%, xSLG, Barrel%, avgEV, MaxEV, and xwOBA, which puts him in a tiny group of batters who can provide power numbers without destroying your ratios. He will strike out and doesn't take as many walks as he should, but the lineup around him provides plenty of protection and a fantastic ceiling for counting stats. The 25-year-old is not making it out of the second round in NFBC drafts, so chances are good his draft stock isn't going anywhere this season.",,2023
24,Sandy Alcantara,MIA,SP,24.0,24.0,Sandy Alcantara (MIA - SP),451,13-10-0SV|3.08|1.10|8.47K9,https://www.fantasypros.com/mlb/players/sandy-alcantara.php,Alcantara,"13-10-0SV|3.08|1.10|8.47K9
In 2022, Sandy Alcantara had Jacob deGrom on speed dial to discuss coping strategies for receiving little to no run support during a dominant pitching season. He had nine NDs, giving up an average of 1.5 earned runs while pitching more than six innings in all but one. Beyond that, Alcantara threw 228 innings with a 2.28 ERA, 0.98 WHIP, and 207 strikeouts, winning the NL Cy Young with all 30 first-place votes. The 27-year-old demonstrated an easy delivery, and the Marlins demonstrated comfort in letting him go deep into ballgames. The concerns with Alcantara are related to over-drafting him coming off his career year and an xFIP that was an entire run above his ERA. He does not overpower hitters, but they struggle to make good contact against his three-pitch mix. He deserves a high draft pick - just recognize some slight regression may be on the horizon.",,2023
25,Spencer Strider,ATL,"RP,SP",25.0,30.0,"Spencer Strider (ATL - RP,SP)",421,12-6-0SV|2.94|1.07|12.08K9,https://www.fantasypros.com/mlb/players/spencer-strider.php,Strider,"12-6-0SV|2.94|1.07|12.08K9
Spencer Strider arrived in MLB in 2022 and promptly helped many a fantasy manager make the playoffs. He pitched 131 2/3 innings, striking out an obscene 202 batters with a devastating slider that came after his 98 mph fastball. He struggled with free passes, issuing 3.1 walks per nine, but he more than made up for that with a 16.4% swinging strike rate and K% of 38.3. After he signed a six-year, $75 million contract, the Braves should allow him to throw more innings, probably in the 150-160 range, and he should still have RP eligibility, making him a points-league stud as well. Strider has the makings of a bona fide ace and is only 24 years old. Draft him with confidence.",,2023
26,Aaron Nola,PHI,SP,26.0,25.0,Aaron Nola (PHI - SP),462,13-9-0SV|3.29|1.06|10.03K9,https://www.fantasypros.com/mlb/players/aaron-nola.php,Nola,"13-9-0SV|3.29|1.06|10.03K9
Aaron Nola had a wildly unlucky 2021 that most fantasy managers were aware of on draft day in 2022. The managers who took him were rewarded with more innings, strikeouts, and vastly improved ratios. Nola remains elite in BB% (3.6) and HardHit% (31.6) while allowing weak contact - which is good since his defense consisted of mostly should-be DHs. The 29-year-old picked up an extra 25 2/3 innings of postseason work, the first of his career, bringing his total innings to a career-high 230. Nola is in the last year of his contract with the Phillies, so he will have plenty of motivation to demonstrate his ability to serve as the ace of any staff.",,2023
27,Francisco Lindor,NYM,SS,27.0,27.0,Francisco Lindor (NYM - SS),385,.255|87R|24HR|88RBI|16SB,https://www.fantasypros.com/mlb/players/francisco-lindor.php,Lindor,".255|87R|24HR|88RBI|16SB
Francisco Lindor had an abysmal 2021 after signing a huge contract with the Mets, but he returned to form in 2022, tallying 26 HR, 107 RBI, 98 runs, and 16 SB. He hit .270, though his xBA was only .254. With the Mets starting lineup getting stronger by the day, Lindor should continue to see good counting stats in the 25/80/90 range, and the new stolen base rules may help him get back to 20 in that department. Lindor is the definition of a ""safe"" pick in a good lineup with some upside, but he won't be returning to 2017-2019 numbers anytime soon.",,2023
28,Michael Harris II,ATL,OF,28.0,31.0,Michael Harris II (ATL - OF),338,.279|83R|18HR|79RBI|25SB,https://www.fantasypros.com/mlb/players/michael-harris.php,Harris II,".279|83R|18HR|79RBI|25SB
Michael Harris II played 43 games in Double-A last year before getting called up to the majors and proceeded to hit 19 HR, steal 20 bases, and slash .297/.339/.514 on his way to winning the NL Rookie of the Year award. At the age of 21, he didn't take many walks and struggled with strikeouts, but these numbers should improve based on his profile in the minors. Harris should be a 20/20 guy for the foreseeable future, and he is surrounded in the lineup by guys who will boost his counting stats. There is a lot of value to be had here.",,2023
29,Jacob deGrom,TEX,SP,29.0,29.0,Jacob deGrom (TEX - SP),423,10-6-0SV|2.61|0.92|12.00K9,https://www.fantasypros.com/mlb/players/jacob-degrom.php,deGrom,"10-6-0SV|2.61|0.92|12.00K9
Once again, Jacob deGrom is the pitcher on the board with the wildest range of outcomes possible. If someone could guarantee his health, an argument could be made to take him in the first round. Instead, we have reality, and the reality is that deGrom started only 11 games and pitched 64 1/3 innings, both of which are lower numbers than in the truncated 2020 season. In those 64 innings, he struck out 102 batters using his elite arsenal of pitches. Batters did hit him a little harder when they did make contact, and he had a career-high 1.26 HR/9, but the rest of his Statcast profile still shines bright red. In the offseason, the Texas Rangers handed the 34-year-old a five-year, $185 million contract to anchor their staff. Globe Life Park is a better hitter's park than City Field, but when it comes to deGrom, the only factor that impacts his fantasy value is availability.",,2023
30,Justin Verlander,NYM,SP,30.0,32.0,Justin Verlander (NYM - SP),428,14-7-0SV|2.87|1.01|9.62K9,https://www.fantasypros.com/mlb/players/justin-verlander.php,Verlander,"14-7-0SV|2.87|1.01|9.62K9
Justin Verlander had Tommy John surgery in 2020 at the age of 37, missed all of 2021 at the age of 38, and won the AL Cy Young Award in 2022 at the age of 39. As a reward for that performance, he signed a two-year contract with the Mets so he and Max Scherzer can arm wrestle for who gets to call themselves the staff's ace. Including the postseason run, Verlander threw 195 innings last season, and even though he has been a workhorse for his entire career, it is fair to question how many more years he can continue to flirt with 200 innings. He struck out 210 batters with a regular-season ERA of 1.75 and a microscopic WHIP of 0.83. Aside from turning 40 in February, fantasy managers need to be wary of the BABIP of .240, which is 30 points below his career average and due to regress. He will come with a senior citizen discount in drafts, but that could be a heck of a steal if he somehow comes close to a repeat performance.",,2023
31,Nolan Arenado,STL,3B,31.0,28.0,Nolan Arenado (STL - 3B),426,.267|78R|28HR|98RBI|4SB,https://www.fantasypros.com/mlb/players/nolan-arenado.php,Arenado,".267|78R|28HR|98RBI|4SB
For most of 2022, Nolan Arenado was in the NL MVP conversation while batting directly behind the guy who eventually won it, Paul Goldschmidt. Two years into his St. Louis tenure, the 31-year-old has put to rest most fantasy manager fears about the lack of the Coors effect. The last time Arenado did not hit 30+ HR with 100+ RBI was in 2014 (ignoring the pandemic-shortened season). His BABIP was a little high (.290), which led to his .293 batting average, so fantasy managers should consider that regression and expect more in the .270 range. Aside from that, though, rostering Arenado is a calm, reliable move worth making if you took bigger risks in the early rounds or if you just want the safest option available at the hot corner.",,2023
32,Max Scherzer,NYM,SP,32.0,34.0,Max Scherzer (NYM - SP),423,12-7-0SV|3.09|1.05|10.59K9,https://www.fantasypros.com/mlb/players/max-scherzer.php,Scherzer,"12-7-0SV|3.09|1.05|10.59K9
Scherzer started only 23 games in 2022 due to a couple of oblique issues that kept him on the shelf for a couple of IL stints. When he did take the mound, the 38-year-old continued his march of dominance in his new digs. In 145 1/3 innings, Scherzer struck out 173 batters and maintained a 2.29 ERA and 0.91 WHIP. His K% dropped from a super-elite 34.1% to a basic-elite 30.6%. While he does not have any outward signs of decline, some fantasy managers might be wary of investing a high-round pick in a guy who turns 39 in July. But assuming he returns to the 180-190 innings mark, he is well worth the investment.",,2023
33,Marcus Semien,TEX,2B,33.0,26.0,Marcus Semien (TEX - 2B),388,.252|92R|26HR|75RBI|20SB,https://www.fantasypros.com/mlb/players/marcus-semien.php,Semien,".252|92R|26HR|75RBI|20SB
In 2022, everyone in fantasy baseball circles knew Marcus Semien would experience some serious regression in Texas after his career year in Toronto. The regression happened across the board everywhere but stolen bases, where he actually increased from 15 to 25 in 2022. The power decreased (45 HR to 26) but in exchange, his K% dropped, and he landed in the 95th percentile in outs above average. Beyond that, Semien has played in 155 games or more in six of the past seven seasons (excluding 2020). He bats at the top of an improved batting order, so 100 runs should be bankable. Semien is a great, reliable 2B option, which at this point, looks like a very shallow position heading into 2023.",,2023
34,Shane McClanahan,TB,SP,34.0,35.0,Shane McClanahan (TB - SP),430,13-8-0SV|2.99|1.07|10.10K9,https://www.fantasypros.com/mlb/players/shane-mcclanahan.php,McClanahan,"13-8-0SV|2.99|1.07|10.10K9
Two IL stints in 2022 are the only thing suppressing McClanahan's draft value in 2023. The 25-year-old pitched 166 1/3 innings, struck out 194 batters, and blessed fantasy managers with a 2.54 ERA and 0.93 WHIP. His Statcast page could be the official symbol of Valentine's Day, with the only non-red stat being his fastball spin rate. Because it's the Rays, it's hard to predict how many innings or how deep into ball games they will let him go, but as long as he is healthy, he could anchor a fantasy staff coming out of the fourth or fifth round. Expect a little over 10.0 K/9, an ERA closer to 3, a microscopic WHIP from the third-year player, and the latest entry into the Tampa Bay pitching echelon.",,2023
